Date,Volume
1409216178000,601
1409216187000,612
1409216195000,601
1409216205000,601
1409216217000,600
1409216228000,600
1409216237000,600
1409216245000,603
1409216256000,600
1409216267000,600
1409216277000,603
1409216287000,599
1409216298000,599
1409216309000,598
1409216320000,603
1409216328000,603
1409216337000,605
1409216346000,602
1409216357000,602
1409216367000,601
1409216377000,602
1409216386000,602
1409216396000,602
1409216406000,603
1409216418000,603
1409216426000,600
1409216436000,598
1409216448000,598
1409216455000,598
1409216466000,601
1409216476000,601
1409216487000,599
1409216496000,599
1409216508000,599
1409216517000,598
1409216526000,598
1409216539000,598
1409216547000,601
1409216555000,600
1409216567000,600
1409216578000,599
1409216586000,596
1409216597000,596
1409216608000,594
1409216618000,598
1409216638000,598
1409216646000,596
1409216655000,596
1409216666000,599
1409216677000,595
1409216690000,595
1409216697000,597
1409216705000,596
1409216715000,596
1409216726000,595
1409216737000,594
1409216751000,594
1409216757000,595
1409216766000,596
1409216778000,596
1409216785000,598
1409216806000,596
1409216819000,596
1409216825000,596
1409216838000,596
1409216847000,597
1409216855000,600
1409216865000,600
1409216876000,596
1409216887000,447
1409216897000,447
1409216907000,445
1409216918000,444
1409216927000,444
1409216938000,446
1409216948000,446
1409216956000,446
1409216977000,445
1409216986000,445
1409216995000,446
1409217007000,449
1409217018000,449
1409217029000,470
1409217037000,459
1409217045000,459
1409217057000,457
1409217065000,462
1409217079000,462
1409217088000,478
1409217099000,469
1409217108000,469
1409217126000,461
1409217137000,461
1409217146000,470
1409217157000,471
1409217169000,471
1409217181000,457
1409217187000,471
1409217199000,471
1409217207000,451
1409217219000,453
1409217227000,453
1409217236000,456
1409217247000,452
1409217260000,452
1409217267000,451
1409217284000,452
1409217298000,469
1409217318000,451
1409217329000,453
1409217336000,455
1409217349000,455
1409217357000,451
1409217368000,451
1409217377000,451
1409217387000,453
1409217400000,456
1409217406000,456
1409217417000,452
1409217429000,451
1409217437000,451
1409217447000,455
1409217470000,452
1409217476000,451
1409217488000,452
1409217497000,452
1409217508000,454
1409217518000,452
1409217526000,452
1409217537000,455
1409217551000,457
1409217561000,457
1409217577000,455
1409217598000,452
1409217606000,452
1409217617000,452
1409217627000,452
1409217637000,453
1409217647000,453
1409217657000,452
1409217667000,453
1409217678000,453
1409217686000,452
1409217697000,453
1409217709000,453
1409217728000,453
1409217738000,453
1409217748000,452
1409217759000,653
1409217767000,653
1409217778000,654
1409217789000,655
1409217798000,655
1409217810000,653
1409217817000,654
1409217828000,654
1409217838000,657
1409217847000,664
1409217858000,664
1409217869000,665
1409217878000,665
1409217887000,665
1409217899000,666
1409217919000,665
1409217928000,465
1409217938000,463
1409217949000,463
1409217957000,461
1409217969000,466
1409217977000,466
1409217988000,476
1409217998000,648
1409218006000,648
1409218017000,700
1409218027000,648
1409218038000,648
1409218051000,649
1409218059000,623
1409218068000,623
1409218089000,616
1409218099000,616
1409218107000,618
1409218119000,618
1409218127000,618
1409218140000,618
1409218150000,618
1409218158000,618
1409218169000,616
1409218179000,619
1409218188000,619
1409218202000,621
1409218208000,618
1409218218000,618
1409218230000,621
1409218239000,623
1409218249000,623
1409218258000,618
1409218279000,619
1409218287000,618
1409218299000,619
1409218308000,619
1409218318000,623
1409218329000,615
1409218340000,615
1409218349000,620
1409218359000,619
1409218369000,619
1409218379000,616
1409218391000,616
1409218407000,617
1409218419000,618
1409218430000,618
1409218439000,617
1409218451000,616
1409218458000,616
1409218468000,615
1409218480000,618
1409218489000,618
1409218499000,618
1409218513000,617
1409218519000,617
1409218530000,614
1409218538000,612
1409218549000,612
1409218557000,618
1409218579000,618
1409218588000,619
1409218599000,620
1409218610000,620
1409218618000,614
1409218628000,618
1409218641000,618
1409218647000,617
1409218662000,614
1409218669000,614
1409218678000,614
1409218688000,618
1409218699000,618
1409218710000,619
1409218719000,620
1409218728000,620
1409218750000,615
1409218760000,615
1409218770000,615
1409218781000,615
1409218788000,615
1409218798000,617
1409218808000,611
1409218820000,611
1409218828000,611
1409218840000,611
1409218860000,614
1409218879000,612
1409218887000,609
1409218899000,609
1409218911000,609
1409218920000,608
1409218928000,615
1409218937000,615
1409218949000,612
1409218959000,611
1409218969000,611
1409218982000,610
1409218989000,612
1409219009000,612
1409219029000,611
1409219040000,613
1409219050000,604
1409219063000,604
1409219068000,606
1409219080000,617
1409219089000,617
1409219100000,608
1409219109000,612
1409219119000,612
1409219129000,610
1409219138000,607
1409219161000,609
1409219169000,609
1409219182000,609
1409219199000,607
1409219220000,608
1409219230000,607
1409219241000,607
1409219249000,611
1409219258000,610
1409219272000,610
1409219281000,606
1409219289000,606
1409219299000,606
1409219309000,606
1409219330000,608
1409219339000,609
1409219351000,605
1409219358000,605
1409219370000,605
1409219379000,607
1409219392000,600
1409219401000,600
1409219409000,602
1409219421000,602
1409219431000,603
1409219439000,598
1409219451000,598
1409219459000,598
1409219482000,600
1409219498000,630
1409219509000,630
1409219521000,604
1409219532000,604
1409219540000,609
